"Source","Target","Weight"
"Austrian","Italian",8
"Austrian","Mexican",8
"Austrian","Norwegian",2
"Austrian","Russian",2
"Austrian","Spanish",10
"Austrian","Swedish",3
"Austrian","Swiss",8
"Belgian","American",9
"Belgian","Argentine",2
"Belgian","Austrian",7
"Belgian","Bolivian",1
"Belgian","Brazilian",3
"Belgian","British",8
"Belgian","Chilean",2
"Belgian","Cuban",2
"Belgian","Dutch",6
"Belgian","Ecuadorian",1
"Belgian","English",2
"Belgian","Finnish",1
"Belgian","French",9
"Belgian","German",8
"Belgian","Guatemalan",1
"Belgian","Irish",1
"Belgian","Israeli",1
"Belgian","Italian",6
"Belgian","Mexican",5
"Belgian","Norwegian",1
"Belgian","Polish",1
"Belgian","Russian",2
"Belgian","Spanish",9
"Belgian","Swedish",2
"Belgian","Swiss",6
"Bolivian","American",3
"Bolivian","Argentine",1
"Bolivian","Austrian",1
"Bolivian","Belgian",1
"Bolivian","Brazilian",2
"Bolivian","British",1
"Bolivian","Chilean",2
"Bolivian","Colombian",1
"Bolivian","Cuban",2
"Bolivian","Dutch",1
"Bolivian","Ecuadorian",2
"Bolivian","French",1
"Bolivian","German",1
"Bolivian","Guatemalan",2
"Bolivian","Hungarian",1
"Bolivian","Italian",2
"Bolivian","Mexican",2
"Bolivian","Peruvian",1
"Bolivian","Russian",1
"Bolivian","Spanish",2
"Bolivian","Swiss",1
"Bolivian","Uruguayan",1
"Brazilian","American",7
"Brazilian","Argentine",2
"Brazilian","Austrian",5
"Brazilian","Belgian",3
"Brazilian","Bolivian",2
"Brazilian","British",5
"Brazilian","Chilean",5
"Brazilian","Colombian",1
"Brazilian","Cuban",3
"Brazilian","Dutch",4
"Brazilian","Ecuadorian",2
"Brazilian","English",2
"Brazilian","French",5
"Brazilian","German",5
"Brazilian","Guatemalan",2
"Brazilian","Hungarian",1
"Brazilian","Irish",1
"Brazilian","Israeli",1
"Brazilian","Italian",6
"Brazilian","Mexican",7
"Brazilian","Norwegian",2
"Brazilian","Peruvian",1
"Brazilian","Russian",1
"Brazilian","Spanish",6
"Brazilian","Swedish",1
"Brazilian","Swiss",4
"Brazilian","Uruguayan",1
"British","American",36
"British","Argentine",3
"British","Austrian",11
"British","Belgian",8
"British","Bolivian",1
"British","Brazilian",5
"British","Canadian",2
"British","Catalan",1
"British","Chilean",5
"British","Cuban",2
"British","Danish",1
"British","Dutch",11
"British","Ecuadorian",2
"British","English",4
"British","Finnish",4
"British","Flemish",1
"British","French",29
"British","German",20
"British","Guatemalan",1
"British","Hungarian",2
"British","Irish",2
"British","Israeli",1
"British","Italian",12
"British","Latvian",1
"British","Mexican",14
"British","Norwegian",2
"British","Polish",1
"British","Russian",6
"British","Russian-Lithuanian",1
"British","Spanish",15
"British","Swedish",6
"British","Swiss",9
"Canadian","American",4
"Canadian","British",2
"Canadian","Chilean",1
"Canadian","Ecuadorian",1
"Canadian","English",1
"Canadian","French",2
"Canadian","German",1
"Canadian","Irish",1
"Canadian","Mexican",1
"Canadian","Spanish",1
"Catalan","American",1
"Catalan","Austrian",1
"Catalan","British",1
"Catalan","Danish",1
"Catalan","Finnish",1
"Catalan","French",1
"Catalan","German",1
"Catalan","Swedish",1
"Catalan","Swiss",1
"Chilean","American",8
"Chilean","Argentine",2
"Chilean","Austrian",4
"Chilean","Belgian",2
"Chilean","Bolivian",2
"Chilean","Brazilian",5
"Chilean","British",5
"Chilean","Canadian",1
"Chilean","Colombian",1
"Chilean","Cuban",3
"Chilean","Dutch",4
"Chilean","Ecuadorian",3
"Chilean","English",1
"Chilean","French",6
"Chilean","German",6
"Chilean","Guatemalan",2
"Chilean","Hungarian",1
"Chilean","Irish",1
"Chilean","Israeli",1
"Chilean","Italian",6
"Chilean","Mexican",7
"Chilean","Norwegian",1
"Chilean","Peruvian",1
"Chilean","Russian",1
"Chilean","Spanish",6
"Chilean","Swedish",1
"Chilean","Swiss",3
"Chilean","Uruguayan",1
"Colombian","American",1
"Colombian","Argentine",1
"Colombian","Bolivian",1
"Colombian","Brazilian",1
"Colombian","Chilean",1
"Colombian","Cuban",1
"Colombian","Ecuadorian",1
"Colombian","Guatemalan",1
"Colombian","Hungarian",1
"Colombian","Italian",1
"Colombian","Mexican",1
"Colombian","Peruvian",1
"Colombian","Spanish",1
"Colombian","Uruguayan",1
"Cuban","American",3
"Cuban","Argentine",1
"Cuban","Austrian",2
"Cuban","Belgian",2
"Cuban","Bolivian",2
"Cuban","Brazilian",3
"Cuban","British",2
"Cuban","Chilean",3
"Cuban","Colombian",1
"Cuban","Dutch",2
"Cuban","Ecuadorian",2
"Cuban","French",2
"Cuban","German",2
"Cuban","Guatemalan",2
"Cuban","Hungarian",1
"Cuban","Italian",3
"Cuban","Mexican",4
"Cuban","Peruvian",1
"Cuban","Russian",1
"Cuban","Spanish",3
"Cuban","Swiss",2
"Cuban","Uruguayan",1
"Czech","American",1
"Czech","Finnish",1
"Czech","Japanese",1
"Czech","Scottish",1
"Czech","Swedish",1
"Danish","American",2
"Danish","Austrian",1
"Danish","British",1
"Danish","Catalan",1
"Danish","Finnish",1
"Danish","French",1
"Danish","German",1
"Danish","Swedish",1
"Danish","Swiss",1
"Dutch","American",20
"Dutch","Argentine",1
"Dutch","Austrian",8
"Dutch","Belgian",6
"Dutch","Bolivian",1
"Dutch","Brazilian",4
"Dutch","British",11
"Dutch","Chilean",4
"Dutch","Cuban",2
"Dutch","Ecuadorian",1
"Dutch","English",1
"Dutch","Finnish",1
"Dutch","Florentine",1
"Dutch","French",22
"Dutch","German",19
"Dutch","Guatemalan",1
"Dutch","Italian",12
"Dutch","Japanese",1
"Dutch","Mexican",12
"Dutch","Netherlandish",1
"Dutch","Norwegian",2
"Dutch","Peruvian",1
"Dutch","Russian",4
"Dutch","Spanish",16
"Dutch","Swedish",1
"Dutch","Swiss",8
"Ecuadorian","American",3
"Ecuadorian","Argentine",1
"Ecuadorian","Austrian",1
"Ecuadorian","Belgian",1
"Ecuadorian","Bolivian",2
"Ecuadorian","Brazilian",2
"Ecuadorian","British",2
"Ecuadorian","Canadian",1
"Ecuadorian","Chilean",3
"Ecuadorian","Colombian",1
"Ecuadorian","Cuban",2
"Ecuadorian","Dutch",1
"Ecuadorian","French",2
"Ecuadorian","German",2
"Ecuadorian","Guatemalan",2
"Ecuadorian","Hungarian",1
"Ecuadorian","Italian",2
"Ecuadorian","Mexican",3
"Ecuadorian","Peruvian",1
"Ecuadorian","Russian",1
"Ecuadorian","Spanish",3
"Ecuadorian","Swiss",1
"Ecuadorian","Uruguayan",1
"English","American",4
"English","Argentine",1
"English","Austrian",2
"English","Belgian",2
"English","Brazilian",2
"English","British",4
"English","Canadian",1
"English","Chilean",1
"English","Dutch",1
"English","Flemish",1
"English","French",4
"English","German",3
"English","Irish",2
"English","Israeli",1
"English","Italian",3
"English","Mexican",2
"English","Norwegian",1
"English","Spanish",2
"English","Swedish",1
"English","Swiss",2
"Finnish","American",8
"Finnish","Argentine",1
"Finnish","Austrian",2
"Finnish","Belgian",1
"Finnish","British",4
"Finnish","Catalan",1
"Finnish","Czech",1
"Finnish","Danish",1
"Finnish","Dutch",1
"Finnish","French",2
"Finnish","German",4
"Finnish","Japanese",1
"Finnish","Scottish",1
"Finnish","Spanish",1
"Finnish","Swedish",4
"Finnish","Swiss",1
"Flemish","American",1
"Flemish","British",1
"Flemish","English",1
"Flemish","French",1
"Flemish","German",1
"Flemish","Italian",1
"Florentine","American",1
"Florentine","Dutch",1
"Florentine","French",1
"Florentine","German",1
"Florentine","Italian",2
"Florentine","Japanese",1
"Florentine","Netherlandish",1
"Florentine","Spanish",1
"Florentine","Venetian",1
"French","American",57
"French","Argentine",3
"French","Austrian",12
"French","Belgian",9
"French","Bolivian",1
"French","Brazilian",5
"French","British",29
"French","Canadian",2
"French","Catalan",1
"French","Chilean",6
"French","Cuban",2
"French","Danish",1
"French","Dutch",22
"French","Ecuadorian",2
"French","English",4
"French","Finnish",2
"French","Flemish",1
"French","Florentine",1
"French","German",36
"French","Guatemalan",1
"French","Hungarian",2
"French","Irish",2
"French","Israeli",2
"French","Italian",22
"French","Japanese",1
"French","Latvian",1
"French","Mexican",23
"French","Netherlandish",1
"French","Norwegian",2
"French","Peruvian",1
"French","Polish",1
"French","Russian",12
"French","Russian-Lithuanian",1
"French","Spanish",31
"French","Swedish",3
"French","Swiss",13
"German","American",41
"German","Argentine",3
"German","Austrian",10
"German","Belgian",8
"German","Bolivian",1
"German","Brazilian",5
"German","British",20
"German","Canadian",1
"German","Catalan",1
"German","Chilean",6
"German","Cuban",2
"German","Danish",1
"German","Dutch",19
"German","Ecuadorian",2
"German","English",3
"German","Finnish",4
"German","Flemish",1
"German","Florentine",1
"German","French",36
"German","Guatemalan",1
"German","Hungarian",2
"German","Irish",1
"German","Israeli",1
"German","Italian",18
"German","Japanese",1
"German","Latvian",1
"German","Mexican",18
"German","Netherlandish",1
"German","Norwegian",2
"German","Peruvian",1
"German","Russian",8
"German","Russian-Lithuanian",1
"German","Spanish",25
"German","Swedish",3
"German","Swiss",14
"Guatemalan","American",3
"Guatemalan","Argentine",1
"Guatemalan","Austrian",1
"Guatemalan","Belgian",1
"Guatemalan","Bolivian",2
"Guatemalan","Brazilian",2
"Guatemalan","British",1
"Guatemalan","Chilean",2
"Guatemalan","Colombian",1
"Guatemalan","Cuban",2
"Guatemalan","Dutch",1
"Guatemalan","Ecuadorian",2
"Guatemalan","French",1
"Guatemalan","German",1
"Guatemalan","Hungarian",1
"Guatemalan","Italian",2
"Guatemalan","Mexican",3
"Guatemalan","Peruvian",1
"Guatemalan","Russian",1
"Guatemalan","Spanish",2
"Guatemalan","Swiss",1
"Guatemalan","Uruguayan",1
"Hungarian","American",3
"Hungarian","Argentine",2
"Hungarian","Bolivian",1
"Hungarian","Brazilian",1
"Hungarian","British",2
"Hungarian","Chilean",1
"Hungarian","Colombian",1
"Hungarian","Cuban",1
"Hungarian","Ecuadorian",1
"Hungarian","French",2
"Hungarian","German",2
"Hungarian","Guatemalan",1
"Hungarian","Italian",2
"Hungarian","Mexican",3
"Hungarian","Peruvian",1
"Hungarian","Russian",1
"Hungarian","Russian-Lithuanian",1
"Hungarian","Spanish",2
"Hungarian","Uruguayan",1
"Irish","American",2
"Irish","Argentine",1
"Irish","Austrian",1
"Irish","Belgian",1
"Irish","Brazilian",1
"Irish","British",2
"Irish","Canadian",1
"Irish","Chilean",1
"Irish","English",2
"Irish","French",2
"Irish","German",1
"Irish","Israeli",1
"Irish","Italian",1
"Irish","Mexican",1
"Irish","Spanish",1
"Irish","Swedish",1
"Irish","Swiss",1
"Israeli","American",2
"Israeli","Argentine",1
"Israeli","Austrian",1
"Israeli","Belgian",1
"Israeli","Brazilian",1
"Israeli","British",1
"Israeli","Chilean",1
"Israeli","English",1
"Israeli","French",2
"Israeli","German",1
"Israeli","Irish",1
"Israeli","Italian",2
"Israeli","Mexican",1
"Israeli","Spanish",1
"Israeli","Swedish",1
"Israeli","Swiss",1
"Italian","American",23
"Italian","Argentine",3
"Italian","Austrian",8
"Italian","Belgian",6
"Italian","Bolivian",2
"Italian","Brazilian",6
"Italian","British",12
"Italian","Chilean",6
"Italian","Colombian",1
"Italian","Cuban",3
"Italian","Dutch",12
"Italian","Ecuadorian",2
"Italian","English",3
"Italian","Flemish",1
"Italian","Florentine",2
"Italian","French",22
"Italian","German",18
"Italian","Guatemalan",2
"Italian","Hungarian",2
"Italian","Irish",1
"Italian","Israeli",2
"Italian","Japanese",1
"Italian","Mexican",13
"Italian","Netherlandish",1
"Italian","Norwegian",2
"Italian","Peruvian",2
"Italian","Russian",5
"Italian","Russian-Lithuanian",1
"Italian","Spanish",16
"Italian","Swedish",1
"Italian","Swiss",7
"Italian","Uruguayan",1
"Italian","Venetian",1
"Japanese","American",1
"Japanese","Czech",1
"Japanese","Dutch",1
"Japanese","Finnish",1
"Japanese","Florentine",1
"Japanese","French",1
"Japanese","German",1
"Japanese","Italian",1
"Japanese","Netherlandish",1
"Japanese","Scottish",1
"Japanese","Spanish",1
"Japanese","Swedish",1
"Latvian","American",1
"Latvian","British",1
"Latvian","French",1
"Latvian","German",1
"Latvian","Mexican",1
"Latvian","Russian",1
"Latvian","Swiss",1
"Mexican","American",25
"Mexican","Argentine",3
"Mexican","Austrian",8
"Mexican","Belgian",5
"Mexican","Bolivian",2
"Mexican","Brazilian",7
"Mexican","British",14
"Mexican","Canadian",1
"Mexican","Chilean",7
"Mexican","Colombian",1
"Mexican","Cuban",4
"Mexican","Dutch",12
"Mexican","Ecuadorian",3
"Mexican","English",2
"Mexican","French",23
"Mexican","German",18
"Mexican","Guatemalan",3
"Mexican","Hungarian",3
"Mexican","Irish",1
"Mexican","Israeli",1
"Mexican","Italian",13
"Mexican","Latvian",1
"Mexican","Norwegian",2
"Mexican","Peruvian",1
"Mexican","Russian",7
"Mexican","Russian-Lithuanian",1
"Mexican","Spanish",15
"Mexican","Swedish",1
"Mexican","Swiss",8
"Mexican","Uruguayan",1
"Netherlandish","Dutch",1
"Netherlandish","Florentine",1
"Netherlandish","French",1
"Netherlandish","German",1
"Netherlandish","Italian",1
"Netherlandish","Japanese",1
"Netherlandish","Spanish",1
"Norwegian","American",2
"Norwegian","Austrian",2
"Norwegian","Belgian",1
"Norwegian","Brazilian",2
"Norwegian","British",2
"Norwegian","Chilean",1
"Norwegian","Dutch",2
"Norwegian","English",1
"Norwegian","French",2
"Norwegian","German",2
"Norwegian","Italian",2
"Norwegian","Mexican",2
"Norwegian","Spanish",2
"Norwegian","Swiss",2
"Peruvian","American",3
"Peruvian","Argentine",1
"Peruvian","Bolivian",1
"Peruvian","Brazilian",1
"Peruvian","Chilean",1
"Peruvian","Colombian",1
"Peruvian","Cuban",1
"Peruvian","Dutch",1
"Peruvian","Ecuadorian",1
"Peruvian","French",1
"Peruvian","German",1
"Peruvian","Guatemalan",1
"Peruvian","Hungarian",1
"Peruvian","Italian",2
"Peruvian","Mexican",1
"Peruvian","Spanish",2
"Peruvian","Uruguayan",1
"Polish","American",1
"Polish","Belgian",1
"Polish","British",1
"Polish","French",1
"Polish","Spanish",1
"Russian","American",11
"Russian","Argentine",1
"Russian","Austrian",2
"Russian","Belgian",2
"Russian","Bolivian",1
"Russian","Brazilian",1
"Russian","British",6
"Russian","Chilean",1
"Russian","Cuban",1
"Russian","Dutch",4
"Russian","Ecuadorian",1
"Russian","French",12
"Russian","German",8
"Russian","Guatemalan",1
"Russian","Hungarian",1
"Russian","Italian",5
"Russian","Latvian",1
"Russian","Mexican",7
"Russian","Russian-Lithuanian",1
"Russian","Spanish",7
"Russian","Swiss",3
"Russian-Lithuanian","American",1
"Russian-Lithuanian","Argentine",1
"Russian-Lithuanian","British",1
"Russian-Lithuanian","French",1
"Russian-Lithuanian","German",1
"Russian-Lithuanian","Hungarian",1
"Russian-Lithuanian","Italian",1
"Russian-Lithuanian","Mexican",1
"Russian-Lithuanian","Russian",1
"Russian-Lithuanian","Spanish",1
"Scottish","American",1
"Scottish","Czech",1
"Scottish","Finnish",1
"Scottish","Japanese",1
"Scottish","Swedish",1
"Spanish","American",32
"Spanish","Argentine",4
"Spanish","Austrian",10
"Spanish","Belgian",9
"Spanish","Bolivian",2
"Spanish","Brazilian",6
"Spanish","British",15
"Spanish","Canadian",1
"Spanish","Chilean",6
"Spanish","Colombian",1
"Spanish","Cuban",3
"Spanish","Dutch",16
"Spanish","Ecuadorian",3
"Spanish","English",2
"Spanish","Finnish",1
"Spanish","Florentine",1
"Spanish","French",31
"Spanish","German",25
"Spanish","Guatemalan",2
"Spanish","Hungarian",2
"Spanish","Irish",1
"Spanish","Israeli",1
"Spanish","Italian",16
"Spanish","Japanese",1
"Spanish","Mexican",15
"Spanish","Netherlandish",1
"Spanish","Norwegian",2
"Spanish","Peruvian",2
"Spanish","Polish",1
"Spanish","Russian",7
"Spanish","Russian-Lithuanian",1
"Spanish","Swedish",2
"Spanish","Swiss",9
"Spanish","Uruguayan",1
"Swedish","American",7
"Swedish","Argentine",2
"Swedish","Austrian",3
"Swedish","Belgian",2
"Swedish","Brazilian",1
"Swedish","British",6
"Swedish","Catalan",1
"Swedish","Chilean",1
"Swedish","Czech",1
"Swedish","Danish",1
"Swedish","Dutch",1
"Swedish","English",1
"Swedish","Finnish",4
"Swedish","French",3
"Swedish","German",3
"Swedish","Irish",1
"Swedish","Israeli",1
"Swedish","Italian",1
"Swedish","Japanese",1
"Swedish","Mexican",1
"Swedish","Scottish",1
"Swedish","Spanish",2
"Swedish","Swiss",2
"Swiss","American",14
"Swiss","Argentine",1
"Swiss","Austrian",8
"Swiss","Belgian",6
"Swiss","Bolivian",1
"Swiss","Brazilian",4
"Swiss","British",9
"Swiss","Catalan",1
"Swiss","Chilean",3
"Swiss","Cuban",2
"Swiss","Danish",1
"Swiss","Dutch",8
"Swiss","Ecuadorian",1
"Swiss","English",2
"Swiss","Finnish",1
"Swiss","French",13
"Swiss","German",14
"Swiss","Guatemalan",1
"Swiss","Irish",1
"Swiss","Israeli",1
"Swiss","Italian",7
"Swiss","Latvian",1
"Swiss","Mexican",8
"Swiss","Norwegian",2
"Swiss","Russian",3
"Swiss","Spanish",9
"Swiss","Swedish",2
"Uruguayan","American",1
"Uruguayan","Argentine",1
"Uruguayan","Bolivian",1
"Uruguayan","Brazilian",1
"Uruguayan","Chilean",1
"Uruguayan","Colombian",1
"Uruguayan","Cuban",1
"Uruguayan","Ecuadorian",1
"Uruguayan","Guatemalan",1
"Uruguayan","Hungarian",1
"Uruguayan","Italian",1
"Uruguayan","Mexican",1
"Uruguayan","Peruvian",1
"Uruguayan","Spanish",1
"Venetian","American",1
"Venetian","Florentine",1
"Venetian","Italian",1
